Index Name,Date,Open,High,Low,Close
NIFTY 50,02-May-25,24311.9,24589.15,24238.5,24346.7
NIFTY 50,30-Apr-25,24342.05,24396.15,24198.75,24334.2
NIFTY 50,29-Apr-25,24370.7,24457.65,24290.75,24335.95
NIFTY 50,28-Apr-25,24070.25,24355.1,24054.05,24328.5
NIFTY 50,25-Apr-25,24289,24365.45,23847.85,24039.35
NIFTY 50,24-Apr-25,24277.9,24347.85,24216.15,24246.7
NIFTY 50,23-Apr-25,24357.6,24359.3,24119.95,24328.95
NIFTY 50,22-Apr-25,24185.4,24242.6,24072,24167.25
NIFTY 50,21-Apr-25,23949.15,24189.55,23903.65,24125.55
NIFTY 50,17-Apr-25,23401.85,23872.35,23298.55,23851.65
NIFTY 50,16-Apr-25,23344.1,23452.2,23273.05,23437.2
NIFTY 50,15-Apr-25,23368.35,23368.35,23207,23328.55
NIFTY 50,11-Apr-25,22695.4,22923.9,22695.4,22828.55
NIFTY 50,09-Apr-25,22460.3,22468.7,22353.25,22399.15
NIFTY 50,08-Apr-25,22446.75,22697.2,22270.85,22535.85
NIFTY 50,07-Apr-25,21758.4,22254,21743.65,22161.6
NIFTY 50,04-Apr-25,23190.4,23214.7,22857.45,22904.45
NIFTY 50,03-Apr-25,23150.3,23306.5,23145.8,23250.1
NIFTY 50,02-Apr-25,23192.6,23350,23158.45,23332.35
NIFTY 50,01-Apr-25,23341.1,23565.15,23136.4,23165.7
NIFTY 50,28-Mar-25,23600.4,23649.2,23450.2,23519.35
NIFTY 50,27-Mar-25,23433.95,23646.45,23412.2,23591.95
NIFTY 50,26-Mar-25,23700.95,23736.5,23451.7,23486.85
NIFTY 50,25-Mar-25,23751.5,23869.6,23601.4,23668.65
NIFTY 50,24-Mar-25,23515.4,23708.75,23433.5,23658.35
NIFTY 50,21-Mar-25,23168.25,23402.7,23132.8,23350.4
NIFTY 50,20-Mar-25,23036.6,23216.7,22973.95,23190.65
NIFTY 50,19-Mar-25,22874.95,22940.7,22807.95,22907.6
NIFTY 50,18-Mar-25,22662.25,22857.8,22599.2,22834.3
NIFTY 50,17-Mar-25,22353.15,22577,22353.15,22508.75
NIFTY 50,13-Mar-25,22541.5,22558.05,22377.35,22397.2
NIFTY 50,12-Mar-25,22536.35,22577.4,22329.55,22470.5
NIFTY 50,11-Mar-25,22345.95,22522.1,22314.7,22497.9
NIFTY 50,10-Mar-25,22521.85,22676.75,22429.05,22460.3
NIFTY 50,07-Mar-25,22508.65,22633.8,22464.75,22552.5
NIFTY 50,06-Mar-25,22476.35,22556.45,22245.85,22544.7
NIFTY 50,05-Mar-25,22073.05,22394.9,22067.8,22337.3
NIFTY 50,04-Mar-25,21974.45,22105.05,21964.6,22082.65
NIFTY 50,03-Mar-25,22194.55,22261.55,22004.7,22119.3
NIFTY 50,28-Feb-25,22433.4,22450.35,22104.85,22124.7
NIFTY 50,27-Feb-25,22568.95,22613.3,22508.4,22545.05
NIFTY 50,25-Feb-25,22516.45,22625.3,22513.9,22547.55
NIFTY 50,24-Feb-25,22609.35,22668.05,22518.8,22553.35
NIFTY 50,21-Feb-25,22857.2,22921,22720.3,22795.9
NIFTY 50,20-Feb-25,22821.1,22923.85,22812.75,22913.15
NIFTY 50,19-Feb-25,22847.25,23049.95,22814.85,22932.9
NIFTY 50,18-Feb-25,22963.65,22992.5,22801.5,22945.3
NIFTY 50,17-Feb-25,22809.9,22974.2,22725.45,22959.5
NIFTY 50,14-Feb-25,23096.45,23133.7,22774.85,22929.25
NIFTY 50,13-Feb-25,23055.75,23235.5,22992.2,23031.4
NIFTY 50,12-Feb-25,23050.8,23144.7,22798.35,23045.25
NIFTY 50,11-Feb-25,23383.55,23390.05,22986.65,23071.8
NIFTY 50,10-Feb-25,23543.8,23568.6,23316.3,23381.6
NIFTY 50,07-Feb-25,23649.5,23694.5,23443.2,23559.95
NIFTY 50,06-Feb-25,23761.95,23773.55,23556.25,23603.35
NIFTY 50,05-Feb-25,23801.75,23807.3,23680.45,23696.3
NIFTY 50,04-Feb-25,23509.9,23762.75,23423.15,23739.25
NIFTY 50,03-Feb-25,23319.35,23381.6,23222,23361.05
NIFTY 50,01-Feb-25,23528.6,23632.45,23318.3,23482.15
NIFTY 50,31-Jan-25,23296.75,23546.8,23277.4,23508.4
NIFTY 50,30-Jan-25,23169.5,23322.05,23139.2,23249.5
NIFTY 50,29-Jan-25,23026.75,23183.35,22976.5,23163.1
NIFTY 50,28-Jan-25,22960.45,23137.95,22857.65,22957.25
NIFTY 50,27-Jan-25,22940.15,23007.45,22786.9,22829.15
NIFTY 50,24-Jan-25,23183.9,23347.3,23050,23092.2
NIFTY 50,23-Jan-25,23128.3,23270.8,23090.65,23205.35
NIFTY 50,22-Jan-25,23099.15,23169.55,22981.3,23155.35
NIFTY 50,21-Jan-25,23421.65,23426.3,22976.85,23024.65
NIFTY 50,20-Jan-25,23290.4,23391.1,23170.65,23344.75
NIFTY 50,17-Jan-25,23277.1,23292.1,23100.35,23203.2
NIFTY 50,16-Jan-25,23377.25,23391.65,23272.05,23311.8
NIFTY 50,15-Jan-25,23250.45,23293.65,23146.45,23213.2
NIFTY 50,14-Jan-25,23165.9,23264.95,23134.15,23176.05
NIFTY 50,13-Jan-25,23195.4,23340.95,23047.25,23085.95
NIFTY 50,10-Jan-25,23551.9,23596.6,23344.35,23431.5
NIFTY 50,09-Jan-25,23674.75,23689.5,23503.05,23526.5
NIFTY 50,08-Jan-25,23746.65,23751.85,23496.15,23688.95
NIFTY 50,07-Jan-25,23679.9,23795.2,23637.8,23707.9
NIFTY 50,06-Jan-25,24045.8,24089.95,23551.9,23616.05
NIFTY 50,03-Jan-25,24196.4,24196.45,23976,24004.75
NIFTY 50,02-Jan-25,23783,24226.7,23751.55,24188.65
NIFTY 50,01-Jan-25,23637.65,23822.8,23562.8,23742.9
NIFTY 50,31-Dec-24,23560.6,23689.85,23460.45,23644.8
NIFTY 50,30-Dec-24,23796.9,23915.35,23599.3,23644.9
NIFTY 50,27-Dec-24,23801.4,23938.85,23800.6,23813.4
NIFTY 50,26-Dec-24,23775.8,23854.5,23653.6,23750.2
NIFTY 50,24-Dec-24,23769.1,23867.65,23685.15,23727.65
NIFTY 50,23-Dec-24,23738.2,23869.55,23647.2,23753.45
NIFTY 50,20-Dec-24,23960.7,24065.8,23537.35,23587.5
NIFTY 50,19-Dec-24,23877.15,24004.9,23870.3,23951.7
NIFTY 50,18-Dec-24,24297.95,24394.45,24149.85,24198.85
NIFTY 50,17-Dec-24,24584.8,24624.1,24303.45,24336
NIFTY 50,16-Dec-24,24753.4,24781.25,24601.75,24668.25
NIFTY 50,13-Dec-24,24498.35,24792.3,24180.8,24768.3
NIFTY 50,12-Dec-24,24604.45,24675.25,24527.95,24548.7
NIFTY 50,11-Dec-24,24620.5,24691.75,24583.85,24641.8
NIFTY 50,10-Dec-24,24652.65,24677.8,24510.65,24610.05
NIFTY 50,09-Dec-24,24633.9,24705,24580.05,24619
NIFTY 50,06-Dec-24,24729.45,24751.05,24620.5,24677.8
NIFTY 50,05-Dec-24,24539.15,24857.75,24295.55,24708.4
NIFTY 50,04-Dec-24,24488.75,24573.2,24366.3,24467.45
NIFTY 50,03-Dec-24,24367.5,24481.35,24280,24457.15
NIFTY 50,02-Dec-24,24140.85,24301.7,24008.65,24276.05
NIFTY 50,29-Nov-24,23927.15,24188.45,23927.15,24131.1
